use case,size,heap,user,collector,average_latency,min_latency,max_latency,percentile_90,percentile_95,percentile_99,throughput,error_rate,footprint,avgfootprintAfterFullGC,avgFreedMemoryByFullGC,avgfootprintAfterGC,avgFreedMemoryByGC,avgPause,minPause,maxPause,avgGCPause,avgFullGCPause,accumPause,fullGCPause,gcPause,gc_throughput,num_full_gc,num_minor_gc,freedMemoryPerMin,gcPerformance,fullGCPerformance,last_one_minutes_la,last_five_minutes_la,last_fifteen_minutes_la
Echo,1024,1g,100,UseConcMarkSweepGC,6.125740983,0,209,11,15,38,16198.82476,0,990.75,NA,n.a.,35.033,266.199,0.00482,0.00419,0.05805,0.00482,n.a.,54.2,0,54.2,98.49,0,11242,49869.537,55215.685,n.a.,9.26,8.7,8.7
Echo,1024,1g,50,UseSerialGC,3.075273569,0,166,5,8,26,16030.00695,0,989.875,13.25,91.989,33.114,273.058,0.00359,0.00317,0.09491,0.00358,0.06076,38.98,0.12,38.86,98.92,2,10845,49361.169,76202.545,1513.969,7.45,8.33,8.42
Echo,1024,1g,50,UseParallelGC,3.105686231,0,159,5,9,29.99,15890.44237,0,1023,13.066,661.5,42.486,338.742,0.00224,0.00195,0.08736,0.00223,0.05982,19.5,0.12,19.38,99.46,2,8687,49047.875,151841.815,10.799,8.18,8.26,8.25
Echo,1024,1g,50,UseG1GC,3.457395022,0,197,5,10,30,14298.77539,0,1024,NA,n.a.,40.006,611.08,0.00332,0.00115,0.05316,0.00332,n.a.,14.41,0,14.41,99.6,0,4335,44146.045,183868.045,n.a.,8.99,8.92,8.9
Echo,1024,1g,50,UseConcMarkSweepGC,3.132115629,0,213,6,9,17,15752.40545,0,990.75,NA,n.a.,29.195,266.198,0.00474,0.00255,0.07736,0.00474,n.a.,51.72,0,51.72,98.56,0,10904,48380.217,56119.921,n.a.,7.83,7.77,7.67
Echo,1024,1g,1,UseSerialGC,0.2487400775,0,5,1,1,1,3637.920554,0,989.875,13.247,98.119,26.757,273.048,0.00325,0.00291,0.09567,0.0032,0.05865,8.05,0.12,7.93,99.78,2,2475,11265,85217.307,1672.998,0.71,0.66,0.77
Echo,1024,1g,1,UseParallelGC,0.2484462052,0,6,1,1,1,3624.0879,0,1023,13.05,686,27.386,338.018,0.00194,0.00167,0.08747,0.00188,0.0621,3.85,0.12,3.72,99.89,2,1978,11147.035,179658.063,10.788,0.63,0.65,0.64
Echo,1024,1g,1,UseG1GC,0.2674216478,0,7,1,1,1,3402.569563,0,1024,NA,n.a.,27.785,607.65,0.00303,0.0013,0.04978,0.00303,n.a.,3.11,0,3.11,99.91,0,1026,10394.423,200360.421,n.a.,0.5,0.59,0.65
Echo,1024,1g,1,UseConcMarkSweepGC,0.25032291,0,9,1,1,1,3599.677145,0,990.75,NA,n.a.,22.377,266.03,0.00537,0.00416,0.04076,0.00537,n.a.,13.54,0,13.54,99.62,0,2523,11184.943,49584.655,n.a.,0.67,0.71,0.68
Echo,1024,4g,1000,UseSerialGC,50.80941203,0,3413,113,176,277,15390.29358,0.8706474862,3959.5,24.969,408.176,89.075,1092.29,0.00718,0.00565,0.16075,0.0071,0.11359,18.5,0.23,18.28,99.49,2,2576,46924.733,153950.744,3593.365,8.05,7.81,7.95
